"ID","Type","Name","Documentation","Specialization"
"id-32a504ae21274b1ba2809f15c3f99ca2","BusinessActor","BUA00-R+MUNI Dude (ME)","Total cooler Type der nichts besseres zu tun hat als das in seiner Freizeit zu machen ;)",""
"id-d0181862971f480fa8be0970994b539d","BusinessFunction","BUF00-3rd Party Importer","Die Funktion aus 3ten Quellen CSV und XLSX Importieren zu können sofern man sich an die Vorgaben hält. ",""
"id-c6d3e60758a9458999a60602f3a3b93e","BusinessFunction","BUF01-Architektur & Business Modellierer","",""
"id-1728306f843245c28cdf4c03f931735c","BusinessFunction","BUF02-HTML Report erstellen","Archi stellt das EA - Modell auch als HTML Variante zur Verfügung kann lokal oder auf Webserver bereitgstellt werden.",""
"id-6bffa26862a54464b2b248ebe318aaf2","BusinessFunction","BUF03-Image Export","Sowohl aus Archimate Modellen als auch als BPMN 2.0 Ablaufmodellen kann man unterschiedliche Image Formate Exportieren und an 3te Quellen (z.B Dokumentation überleiten) ",""
"id-515413fa45a343748eed2ef0e5bdc06f","BusinessFunction","BUF04-Prozess Automation light","",""
"id-a9a69e2bb4b049dd98a7b5c9ff6f14ae","BusinessFunction","BUF05-Prozess Modellierer","",""
"id-254704aef3534da5b3863619168df04b","BusinessFunction","BUF06-Selbsthilfe","MUNI hat Links und How2 inkludiert. ",""
"id-5dc55f30f09e4374bfe9272f8d296b86","BusinessInterface","BUI00-Archimate Tool GUI","",""
"id-679267bc304a4ae9a219d825b129fd93","BusinessInterface","BUI01-Editor GUI","",""
"id-fba788f076224c86933b5712d75db7c5","BusinessInterface","BUI02-BPMN 2.0 Tool GUI","",""
"id-3e7289a052c94b5d88d08a7e659241d3","BusinessInterface","BUI03-HTML Web GUI","",""
"id-1cbdbc8e6f784df3a399105b7dab5a00","BusinessObject","BUO00-FLOW","",""
"id-820007ce24d54d45baa6966d0e52c668","BusinessObject","BUO01-HTML Report","",""
"id-db304cccdbbd45169fd50eeb4b7d1e0b","BusinessObject","BUO02-Referenzdoku","",""
"id-529381f99030453d81330cb99689cb2c","BusinessObject","BUO03-Referenzmodelle","",""
"id-2846035edbac4e1eac7b177be2423e6b","BusinessObject","BUO04-Visuelle Darstellung","",""
"id-0f0b8b3ec7104ab9a902e773a818553f","BusinessProcess","BUP00-3rd Party Import","",""
"id-6d76f68d89d44f9491a836e9e993d2d7","BusinessProcess","BUP01-Lösung für Anforderung erarbeiten","",""
"id-6132cbb6e22143e3a4a8f1e18ae8aabc","BusinessProcess","BUP02-Lösung präsentieren","",""
"id-ec42131fce17464ababb7bedfe11f468","BusinessProcess","BUP03-R+MUNI anpassen","",""
"id-394ce819ab194ca09c10b6671ea3a587","BusinessProcess","BUP04-R+MUNI entwickeln","",""
"id-486ae814a4cf4dde90c3a130c6441454","BusinessProcess","BUP05-R+MUNI installieren","",""
"id-bfe411b764cb4400aa04321e5da21131","BusinessProcess","BUP06-Schulung durchführen","",""
"id-5b10384809f94f15a0bc399b68f7cdf6","BusinessProcess","BUP07-Visuelle Modelle erstellen","",""
"id-f116ad32a5f94363be4fa5093fba5e13","BusinessRole","BUR00-Consultant","",""
"id-07de8542053d4739b7fa1a98bbe59798","BusinessRole","BUR01-Entwickler","",""
"id-866783f5689b4893a8f70b6350ce0c2e","BusinessRole","BUR02-Modellierer","",""
"id-ae45ebc72b884142adb642ba4fd338a5","BusinessService","BUS00-First Time Setup","",""
"id-0b7a5ed5e5204f918fe105b956a4c660","BusinessService","BUS01-Individual Anpassungen","Da MUNI ein Set aus Scripts und Applikationen ist muss man immer gewisse Anpassungen an den jeweiligen Benutzer durchführen. ",""
"id-4ef15ecc93914e9480ca060b037a7861","BusinessService","BUS02-MUNI Schulungs Service","",""
"id-6ac1e83e5f504bab855953587a815128","BusinessService","BUS03-PreSales Consultant Service","",""
"id-af9fcf6cc64a49528dbf268d944f5747","BusinessService","BUS04-Visuelle Diagramm Service","",""
"id-01eb201c03bb4d7c9844a47cfef98e15","Product","PRO00-R+MUNI","Mein Ziel ein ""Produkt"" das man ohne schlechtes Gewissen auch früher oder später für den Zielmarkt einsetzbar macht. ",""
"id-2aaf978df8a5498288322fc2dc707c09","ApplicationCollaboration","ACO00-R+MUNI","Mehrwert gegenüber Einzelapplikationen",""
"id-7ebdb2a2d877437b8d3b8945b31aff5e","ApplicationComponent","APC00-Archi 5.8","Das Herzstück unserer aktuellen R+MUNI Umgebung",""
"id-8e3e68f7c3b54c6d996c1c65cd4d3eab","ApplicationComponent","APC01-Camunda Modeler","XML basiertes BPMN 2.0 ",""
"id-1e951c3ecb254860b2a829c8ca2895c3","ApplicationComponent","APC02-Crome Browser","",""
"id-df247b5f9ebb4d768ec0d00b795e3502","ApplicationComponent","APC03-FLOW Routine","Die FLOW Routine beschreibt die Möglichkeit Scripts über BPMN modelliert auszuführen. ",""
"id-f0c53e2b0d4c45f78453cfe7ea090c5e","ApplicationComponent","APC04-Notepad ++","Mein Editor schlank flexibel ",""
"id-47eece96f6ef4f8c887079832c9c8d32","ApplicationFunction","APF00-Archmiate Modellierung","",""
"id-f40225e3f9504ddfa56eb22b95fc3ce9","ApplicationFunction","APF01-BPMN 2.0 Modellierung","",""
"id-a3a7ba26228142be94e11c8099b1f549","ApplicationFunction","APF02-Brower Funktion","",""
"id-c3eb6d0e5d344ee788f5eb1a41b1a95e","ApplicationFunction","APF03-Camunda 7 Modelle","",""
"id-01ab2c652ce64460b1b4e2932e725a6e","ApplicationFunction","APF04-Camunda 8 Modelle","",""
"id-c6a30b40e8e04dfeb8c9ae3b58ae9d0f","ApplicationFunction","APF05-CSV Export","",""
"id-04d63fc625ef46dd99d301c9d647a626","ApplicationFunction","APF06-CSV Import","",""
"id-addcef0ebfe342a69591631d2e052ae1","ApplicationFunction","APF07-EA Image Export","",""
"id-94f52e6fd1f644e7938c274d6da9f223","ApplicationFunction","APF08-Editor","",""
"id-e8080291c32346dcb551767309760561","ApplicationFunction","APF09-EXCEL Export","",""
"id-c30bd7d49b334338b26168831305c559","ApplicationFunction","APF10-Selbsthilfeanleitung","Es sind alle Integrierten Funktionen Beschrieben. ",""
"id-73f92331be754642b7ec3de3649fa263","ApplicationFunction","APF11-Image Export","Bereitstellung von Bilderformaten für die Übertragung in statische Welten (Dokumentation) ",""
"id-da9bf2a418c3489e8a3ad16632c02566","ApplicationFunction","APF12-Reader Funkion","",""
"id-f1540c55f6c5425fad4108630fe705d0","ApplicationFunction","APF13-Prozess Image Export","",""
"id-48a16234b4e4448cb38d7d66c3ae8f87","ApplicationFunction","APF14-Prozessautomatisierung light","Kleiner Script Flow Runner der es ermöglicht Scripts nacheinander abzuarbeiten und diese über BPMN 2.0 zu modellieren. ",""
"id-31b2b9431eb741fe845bf7420bcb36b4","ApplicationFunction","APF15-Open Exchange Format Import","",""
"id-8f6f20af5c0149b5aaf5f395b705cddf","ApplicationFunction","APF16-Open Exchange Format Export","",""
"id-09378af6e4e54c2bb56f37b056b411d0","ApplicationInterface","API00-Archi Gui","",""
"id-1b2321b1993f432d867aab233c737a41","ApplicationInterface","API01-Camunda Modeler GUI","",""
"id-39f6158dcef44d1bbc05659f4ba42766","ApplicationInterface","API02-Crome GUI","",""
"id-7351980e1fd84ab1b1cef85e7f32a470","ApplicationInterface","API03-FLOW","",""
"id-def2bc7d7c89434f96b6ebb74efdaa19","ApplicationInterface","API04-Notepad++ GUI","",""
"id-0d2616a6f51b4263867f2d42d6176276","DataObject","DAO00-Archi<modellname>.svg","Archi kann in vielen Image Forment exportieren hier ist das .svg Format gewählt da es optimal ist um es auch als rein optisches Fiels weiter in 3ten Applikationen zu zerlegen. ",""
"id-ddc5d5f706b24d0482ae3f7e504c8638","DataObject","DAO02-Archi CSV Stack","",""
"id-e7247550ca144a27a94f66268ab718ff","DataObject","DAO03-Archi <modellname>.xlsx","Plugin Export aus Archi ACHTUNG nur mit Patrone inkludiert kostenpunkt 5€ pro User",""
"id-bc0b10d6225147619307d89e11def2b4","DataObject","DAO04-Archi XML Stack","Export OEF Format inkl. Addon Daten im xsd Format (Folder, View, Model)",""
"id-afb6eefbbd0548699e65384387b61759","DataObject","DAO05-BPMN<Prozessname>.bpmn","",""
"id-09f50620d3b840568670d86b175bad08","DataObject","DAO06-BPMN<Prozessname>.svg","",""
"id-508d8fb39ffa4a62bd09d5abab1f79bd","DataObject","DAO07-Sub Archi <modellname>","Archi XML Format",""
"id-5e8a5cc38c3341a1b92b5c6588d11027","DataObject","DAO08-FLOW","Flowablauf inkl. Referenzen und Struktur Inperoperationen ",""
"id-ffd948a082514d22a9efa9f9c576d4b3","DataObject","DAO09-Scripts","",""
"id-55bf18ce80c64078a01cd08d1249ce34","DataObject","DAO10-Guidelines","",""
"id-f65114adf355489496223cedcc6ab65b","DataObject","DOA11-R+MUNI Info Files","",""
"id-a5a178d05fd94bd9ba6a199ddd6a6e21","DataObject","DOA12-Main Archi <modellname>","Main Archi XML Format .archimate",""
"id-8c7d81f165824a259ad1810b6de8aef8","CommunicationNetwork","CON00-Internet","",""
"id-330b8be07ec340f7ad5f737cdb2baaef","Device","DEV00-Gaming PC","Mein alter Gaming PC ist vollkommen ausreichend von den Ressourcen. ",""
"id-360a083ec5544500bf2c5f0c8d744d77","Material","MAT00-Guides & Normen","",""
"id-724e6e7411f34c388c44f9c9f56ad865","Material","MAT01-BPMN 2.0 Guides","",""
"id-3d4fcfb5aad74f028f45d48cdc62d158","Material","MAT02-Archimate 3.2 Guides","",""
"id-968c0fdb37f24c048fab4bd3fc03d3a7","Material","MAT03-TOGAF 10 Guides","",""
"id-6b0d235775a645478a85fb1cade0ade2","Node","NOD00-Fritz Box Router","",""
"id-26ef9465c2b34a1186baeb41ef79f144","SystemSoftware","SYS00-Windows 11 Enterprise","Windows 11 Enterprise ist das Entwickler OS für R+MUNI",""
"id-5f5e6a2f8b2b4f05b93a6d4b150bbb7c","SystemSoftware","SYS01-Python 3 run","Python 3 wird inkl. einiges zusätzlichen Library´s für die Umgebung der Scripts benötigt. ",""
"id-7c959626b8a148edbaaa9cac7eeeabfd","SystemSoftware","SYS02-Powershell 7.x","Wir brauchen eine Konsole in dem Falle ist Powersehll 7.x im Einsatz",""
"id-c0889d4beb7e44f39c958afece722642","TechnologyFunction","TEF00-Ordnerstruktur und Rechtevergabe","Das ist ein nicht EA konformes mapping der Ordner und Filestruktur und geht viel zu tief ins Detail um als EA Modell gültigkeit zu haben. Es ist ein ersatz um keinen Toolbruch zu generieren ist aber überraschend gut geeignet wenn man simple verbindungen und Attribute verwendet. ",""
"id-8afbbd03b18345aab637c301ad02fdfc","TechnologyFunction","TEF01-Ausführen von Applikationen","Also Grundvoraussetzung brauchen wir die Funktion, dass Programme ausgeführt werden können.",""
"id-b2283085c7bc4b2da7e0e3984790f188","TechnologyInterface","TEI00-OS GUI","Windows 11 Desktop GUI",""
"id-a0fb68244ac643c1bf4759a5c77e709e","TechnologyInterface","TEI01-Powershell Konsolen GUI","Das Powershell Consolen Fenster",""
"id-a629cbaa5892420cbf7ee173c114ae5c","Assessment","ASS00-Mögliche Lösungen","",""
"id-5f48baf405e2434c8562e4be579f0816","Driver","DRV00-Geiler Job","",""
"id-4efa44dd2e3d44a69f0945d0f16c195a","Driver","DRV01-Wissbegierde","",""
"id-9f87b3f035bc49ef981b4e32b4936ad6","Driver","DRV02-Was mich motiviert!","",""
"id-12679af793a742f0b3e5a6c196ca207d","Goal","GOA00-R+MUNI Release","Ich möchte ein lauffähiges MUNI Projekt haben das es mir ermöglich intern als Prototype zu fungieren damit ich testen kann wo die ecken sind wo ich es schöner machen muss bzw. funktional verbessern sollte. ",""
"id-1feb6dd351ce421c8cec6c3fee8c0f45","Meaning","MEA00-Free 4 all","Die Lösung soll im Kern ohne Diensteistung kostenfrei sein. ",""
"id-a9c6b3622b6d4b55b8fbd0106eb6dfbb","Meaning","MEA01-Wie ich denke","",""
"id-5806af86e54f4bddadc9d002bb6e30f0","Meaning","MEA02-Offen entwickelbar","Es soll jeder offen weierentwickeln können solange der Hintergrund der Lösung gewahrt bleibt",""
"id-07aa42f89e8d404aa027971535a68236","Outcome","OUT00-R+MUNI","",""
"id-2a1f094032ac44b982bc88b695a59cec","Principle","PRI00-Die Prinzipien sind mir wichtig","",""
"id-5579e8de5ea74b94b41cd2ff1113d6f8","Principle","PRI01-Freier Zugang zu Unterlagen","Es soll wenigstens online alles kostenfrei zum nachlesen sein. Vorzugsweise Deutsch aber auch Englisch ist okay. ",""
"id-f0f0f9edab974e42a6a0c2bfdfd0c2e0","Principle","PRI02-Freie Software","Es soll nur Software und Komponenten zum Einsatz kommen die wenigstens in der Community Edition dafür freigegeben sind. Noch besser sind überhaupt freie Software Lösungen für jedem zugänglich sind. ",""
"id-b41a83116fe2490387753d442f5303cf","Principle","PRI03-Offen für Erweiterung","",""
"id-74363f1797494190ac7e9e2900fda900","Principle","PRI04-Offene Normen und Guidelines","Es sollen nur offene Normen und Guidelines zum Einsatz kommen. ",""
"id-0a367492b3df434f9737a64bdae55abd","Requirement","REQ00-Kostenfreier Stack","",""
"id-d1d04a2ed3a54f7bb7bf81e7ccae4d75","Requirement","REQ01-Leicht zu bedienen","",""
"id-2e8003103e65443fa5bdb50a9142d97a","Requirement","REQ02-Wie es sein sollt","",""
"id-16a08948c74f418ea2d1093df569b12c","Requirement","REQ03-wartbar","Ich soll nicht auf 3te angewiesen sein in der Realisierung und Umsetzung.",""
"id-c50b64cab06049b9b724ce5d4ae94c89","Requirement","REQ04-Visuell getrieben","Sofern ohne große Umstände möglich soll die Umsetzung immer auch visuell umsetzbar sein. ",""
"id-4eda9886e61e43adbe284fbe6679ee1a","Requirement","REQ05-Praxis tauglich","",""
"id-35a102086aab4a5098481707177ebaf6","Stakeholder","STA00-Me ;)","Coole Haut ohne Freunde der versucht seine Zeit nicht nur mit Apex Legends zu verschwenden. ",""
"id-fa09164a4758456895d442486aff62ea","Value","VAL00-Millionen Sachen","Die Möglichkeiten sind durch das einfache modulare Grunddesign enorm und es sind kaum Grenzen gesetzt sofern man es irgendwie in einen einlesbaren Code bekommt den ich interpretieren kann ist es integrierbar wenigstens auf einem rudimentären Level der für den Zielmarkt entsprechend dimensioniert ist. ",""
